id,itemId,itemName,itemBatch,batch,expiryDate,packSize,numberOfPacks,numberOfPacksSent,transaction,note,costPrice,sellPrice,sortIndex
6a907870e14711e7a5872fa61e46d180,33CFF5676B110843801214297B7C1A32,"CALAMINE, 15%, lotion, 60 ml, bot.",6a8fdc30e14711e7a5872fa61e46d180 ,,<null>,1,41,41,1639e4f0e14711e7a5872fa61e46d180 ,,0,0,3
e4e68650e14711e7a5872fa61e46d180,36D0A654E68BA44BB60CD269114534DB,"HYDROCORTISONE sodium succinate, eq.100mg base, powder, vial",e4e5ea10e14711e7a5872fa61e46d180 ,,"2018-02-28 00:00:00 +0000",1,10,10,1639e4f0e14711e7a5872fa61e46d180 ,,0,0,6
230255e0e14811e7a5872fa61e46d180,81B65A4CFB966C418A355EC92145B223,"MOSQUITO NET, LLIN, 190x180x150cm, denier 100, white, (WHOPES)",2301e0b0e14811e7a5872fa61e46d180 ,,<null>,1,6864,6864,1639e4f0e14711e7a5872fa61e46d180 ,,0,0,5
92de8140e14811e7a5872fa61e46d180,28D1A7154505B3419EE96EF7D75E7175,"ARTEMETHER 20mg / LUMEFANTRINE 120mg, blister child 12 tab.",92de0c10e14811e7a5872fa61e46d180 ,,"2018-10-31 00:00:00 +0000",1,1,1,1639e4f0e14711e7a5872fa61e46d180 ,,0,0,10
657a1010e14911e7a5872fa61e46d180,08774523699E7D43BE49C7C05852780D,"AMOXICILLIN, 250 mg, tab.",65799ae0e14911e7a5872fa61e46d180 ,,"2019-07-31 00:00:00 +0000",1,12000,12000,1639e4f0e14711e7a5872fa61e46d180 ,,0,0,12
853e14f0e14911e7a5872fa61e46d180,6D4A7635C23ACB4E9C8420CC478F3158,"ASCORBIC acid (vitamin C), 250 mg, tab.",853d9fc0e14911e7a5872fa61e46d180 ,,"2018-06-30 00:00:00 +0000",1,100,100,1639e4f0e14711e7a5872fa61e46d180 ,,0,0,13
ddd73420e14911e7a5872fa61e46d180,25B06E70357D4B4EB02F7B2AAA5F3D75,"CHLORPHENAMINE hydrogen maleate, 4 mg, tab.",ddd697e0e14911e7a5872fa61e46d180 ,,"2019-09-30 00:00:00 +0000",1,6400,6400,1639e4f0e14711e7a5872fa61e46d180 ,,0,0,16
a84bb170e14711e7a5872fa61e46d180,FF6E39A8B814F743A923218614BFC2DC,"DICLOFENAC sodium, 25 mg/ml, 3 ml, amp.",a84b3c40e14711e7a5872fa61e46d180 ,,"2018-04-30 00:00:00 +0000",1,20,20,1639e4f0e14711e7a5872fa61e46d180 ,,0,0,5
f13a1ff0e14911e7a5872fa61e46d180,8517022E30703D4AADC2B8D5F86BE82E,"CHLOROQUINE, 155 mg base, (250 mg phosphate), tab.",f139aac0e14911e7a5872fa61e46d180 ,,"2019-11-30 00:00:00 +0000",1,3820,3820,1639e4f0e14711e7a5872fa61e46d180 ,,0,0,17
419b0f40e14a11e7a5872fa61e46d180,0B9B6A41369F3A449E69FDCE68B25F9E,"ETHINYLESTR. 0.03 mg / LEVONORGESTREL 0.15 mg, plaq. 28 tab.",419a9a10e14a11e7a5872fa61e46d180 ,,"2019-08-31 00:00:00 +0000",1,25,25,1639e4f0e14711e7a5872fa61e46d180 ,,0,0,20
227be070e14b11e7a5872fa61e46d180,A98455BE6A82BF4FBC13539C6B90C710,"TINIDAZOLE, 500 mg, tab.",227b9250e14b11e7a5872fa61e46d180 ,,"2018-09-30 00:00:00 +0000",1,100,100,1639e4f0e14711e7a5872fa61e46d180 ,,0,0,34
353b1230e14b11e7a5872fa61e46d180,3DD73484BB578D498761EEA97349B12F,"PRIMAQUINE diphosphate, eq. 7.5 mg base, tab.",353a9d00e14b11e7a5872fa61e46d180 ,,"2018-07-31 00:00:00 +0000",1,1000,1000,1639e4f0e14711e7a5872fa61e46d180 ,,0,0,35
40e5faa0e14b11e7a5872fa61e46d180,EF006B05A6917E4386A4FF156B054FC0,"BRACELET, BRACHIAL PERIMETER (MUAC), paediatric, PP, 115 mm",40e58570e14b11e7a5872fa61e46d180 ,,<null>,1,37,37,1639e4f0e14711e7a5872fa61e46d180 ,,0,0,36
61000ec0e14b11e7a5872fa61e46d180,C4B933C945AB7540A5FE9674982EC277,"MASK, SURGICAL, type II, s.u.",60ff9990e14b11e7a5872fa61e46d180 ,,<null>,1,1500,1500,1639e4f0e14711e7a5872fa61e46d180 ,,0,0,37
70bc60c0e14b11e7a5872fa61e46d180,9D17D08D8C75364A8072C0A229D27CDF,"SPHYGMOMANOMETER, one-hand manometer, Velcro, adult",70bbeb90e14b11e7a5872fa61e46d180 ,,<null>,1,2,2,1639e4f0e14711e7a5872fa61e46d180 ,,0,0,38
7b172280e14b11e7a5872fa61e46d180,5F976B4EA860FE499F516EDD98E43510,"SPHYGMOMANOMETER, one-hand manometer, Velcro, pediatric",7b16ad50e14b11e7a5872fa61e46d180 ,,<null>,1,5,5,1639e4f0e14711e7a5872fa61e46d180 ,,0,0,39
8ddc20a0e14b11e7a5872fa61e46d180,18BF0CBCB2EBB04EBA341901BBE364C1,"STETHOSCOPE, one cup, nurse",8ddb8460e14b11e7a5872fa61e46d180 ,,<null>,1,4,4,1639e4f0e14711e7a5872fa61e46d180 ,,0,0,40
988ca380e14b11e7a5872fa61e46d180,4E7FF9BB7E2D184E9B5F46F3FE88008F,"TIMER, 60 mn",988c2e50e14b11e7a5872fa61e46d180 ,,<null>,1,32,32,1639e4f0e14711e7a5872fa61e46d180 ,,0,0,41
ad1b1700e14b11e7a5872fa61e46d180,2F1ADAB6E2453947A84C49B5C3CAA5DE,"COTTON WOOL, hydrophilic, roll, 500 g",ad1aa1d0e14b11e7a5872fa61e46d180 ,,<null>,1,398,398,1639e4f0e14711e7a5872fa61e46d180 ,,0,0,43
bd358e90e14b11e7a5872fa61e46d180,598EE18F3EB7CC4DA9346DBB2AA3C8B2,"Bandage, hydrophylic, w.o.w., 5 cm x 10 m, roll",bd34f250e14b11e7a5872fa61e46d180 ,,<null>,1,490,490,1639e4f0e14711e7a5872fa61e46d180 ,,0,0,44
ca9d9050e14b11e7a5872fa61e46d180,EA519454C9189B47A8A66BAAE5B60FC0,"TAPE, ADHESIVE, zinc oxide, ROLL, 7.5 cm x 10 m",ca9cf410e14b11e7a5872fa61e46d180 ,,<null>,1,21,21,1639e4f0e14711e7a5872fa61e46d180 ,,0,0,45
da66b390e14b11e7a5872fa61e46d180,A66333019D2D7341A595EB242A996FCC,"SET, INFUSION 'Y', Luer lock, air inlet, sterile, s.u.",da663e60e14b11e7a5872fa61e46d180 ,,"2021-04-30 00:00:00 +0000",1,20,20,1639e4f0e14711e7a5872fa61e46d180 ,,0,0,46
53d08cb0e14c11e7a5872fa61e46d180,7ED8F5679AC8F04A8F232A862FCBC215,"THERMOMETER, ELECTRONIC, accuracy 0.1 ºC + case",53cff070e14c11e7a5872fa61e46d180 ,,<null>,1,69,69,1639e4f0e14711e7a5872fa61e46d180 ,,0,0,54
62c68170e14c11e7a5872fa61e46d180,B605D1B7B8DF534CA94B7B99E676FB96,"CONDOM, with LUBR.GEL, non-flavor, 3pcs/pack ",62c60c40e14c11e7a5872fa61e46d180 ,,"2019-08-31 00:00:00 +0000",1,90,90,1639e4f0e14711e7a5872fa61e46d180 ,,0,0,55
