id,itemId,joinsThisStore
AE2594CBD000464EA2192AA9153A6613,6D4A7700497FD146B8C24CB3406B17BA,true
BE8D27673DA8BD4090D023C71D09656E,81B65A4CFB966C418A355EC92145B223,true
4FDB7D6466C4B2489111FFAD8754FCD8,4C34040530C2C147B052DE8E313B8298,true
4B066D7870A3924AA6FC00F54DDA1436,C53E9A7E14C1154D92106512D68832B9,true
086605C3B995A447AEE4932AF067C529,389C4FCF010497489FE48B324904B83E,true
68045F2F19C27947995B936E6C742A53,333B6D98BFF90C43A954C02AE49C33BA,true
A7D0FCEE3C7C76489C91EC4B3CB51493,083731D9330D4945AE6B654E82C4F947,true
70D449CCF9E99242B4C1F53C4FFDBB7B,87CEC871FA3ECA478FB8A3DCD93DA40E,true
7C6CAC5040CAE74EA49F4E0ACE94E536,76CDE36E49C3BD439C0C0D0E2C336AF3,true
12A187F62131BD4EA4154B13ABE1A4FC,EF07FA42F79C644C9070C5820B2AA3DB,true
45DAE602D516FB4FA7D73AD587865D05,839E9F7A7CDE204683839338D8C7B369,true
5AF0CA1604E2614691436A392F536BC1,82253A98F4AF0241BE321423038B1535,true
ADB65D1C19461F4994B6B159E28987DF,7386210BED3F5A49BA879E90A1A1DE25,true
9311A3FA65912F40BFA4B2C80CC2B20B,02F4A9EDEE8F424784DADBA12A339F81,true
6ED1577BBA28684088D3A4731C93A0DF,E9FB2F3548F2C84799AB0787F11A5016,true
F8C397A6E8ED8A468CE8EA1B977D3B32,DDFCDC41C7020244A8A5059B00F13DA6,true
E6F19B92443F164E9EBC7F9BC8413AD8,F673E8DECC695446A9EA7021A9573F75,true
A41AEDF101FA21439D9199DEBC988CEC,254DA955F40EB54D98E45CB5D50E0AFD,true
03D081659057584EAD9D011586AA656F,A1522ED09025E948BC313EE244DFE44D,true
F433D222D0ED504BB399B54EBC378C6F,49EA20A91484FC4CAEAC748AF4FE0701,true
ED5C3BBB84764745B73F24F320718587,0AAA92A677569D499F2A87C5D563ED2F,true
C36D2D3B34BC2B479365C0D7F7049CD1,AADDD9267BFDAF4D8B9AAAA042FF3C68,true
45395EFB915C7349BCA9C3D1649D6968,F761DABBD1F42144A6723519C897DDC9,true
D1D0EF5588AB8E49926E188B8B51A236,8BFAC148B993F84D9D1D32CED68D79DE,true
