id,name,code,phoneNumber,billingAddress,emailAddress,type,isCustomer,isSupplier,isManufacturer,masterLists,transactions,isVisible,supplyingStoreId
DC2A3E4642351046B8E33601575FC287,"Yangon warehouse",YGN_warehouse,,<Address>{0},,store,true,true,false,<MasterList>{0},<Transaction>{15 16 17 18 19 36 37 71 72 75 76 98 99 104 108 109 110 141 145 155 156 162 163 164 180 187 189 212 213 214 216 225 226 235 236 242 251 270 271 272 285 286 289 290 300 304 322 323 352 378 400 401 402 441 462},true,BC8A9F183B9032449B1145D8FA1A4904
97AFAEE53ABC6A419BE7399A28CE2EA8,"Lotus Clinic (HTY B)",HTY_B,,<Address>{0},,store,true,true,false,<MasterList>{0},<Transaction>{},true,8795CB9A88061D4A93DDE093540E9F25
649D07F782792E49AE501E7C28CAAD83,Taungoo,TGO,,<Address>{0},,store,true,true,false,<MasterList>{1},<Transaction>{},false,BC8A9F183B9032449B1145D8FA1A4904
D77D36D2F2355A42BE4F4F7A0C0B4C59,Yae,YAE,,<Address>{0},,store,true,true,false,<MasterList>{1},<Transaction>{168},true,8795CB9A88061D4A93DDE093540E9F25
12A26C6F29214649B885C65D1E791C82,"Thazin Orchid Clinic (HTY A)",HTY_A,,<Address>{0},,store,true,true,false,<MasterList>{0},<Transaction>{},true,BC8A9F183B9032449B1145D8FA1A4904
27EB1D66B7AAD44DAF191156B71AF9BE,"Patient Consumption",Pat_Consum,,<Address>{0},,facility,true,false,false,<MasterList>{0},<Transaction>{},false,8795CB9A88061D4A93DDE093540E9F25
97D6EA6AAB7BD8478349FC8EE4E2D7AC,"Phakant Office",PHAK_Of,,<Address>{0},,store,true,true,false,<MasterList>{1},<Transaction>{},true,8795CB9A88061D4A93DDE093540E9F25
2CC938AAA1692348B49D84462267447A,placeholderName,placeholderCode,<null>,<null>,<null>,placeholderType,false,false,false,<MasterList>{0},<Transaction>{},false,<null>
AE46D7AFEC591E4DBCBB7A051ABFF6F1,placeholderName,placeholderCode,<null>,<null>,<null>,placeholderType,false,false,false,<MasterList>{0},<Transaction>{},false,<null>
8164AF198AE88C4FA714BF1BAE22EBEB,placeholderName,placeholderCode,<null>,<null>,<null>,placeholderType,false,false,false,<MasterList>{0},<Transaction>{},false,<null>
D23A51F3A3DBAF4AB59D761AD9FB2FE3,placeholderName,placeholderCode,<null>,<null>,<null>,placeholderType,false,false,false,<MasterList>{0},<Transaction>{},false,<null>
59BD069DFA7A4845B3A14A5BF7BCBBF9,KyaikDon,kkdon,,<Address>{0},,store,true,true,false,<MasterList>{0},<Transaction>{},true,8795CB9A88061D4A93DDE093540E9F25
7748F601FB65EC4CB80776C3808F510F,Kyauktaw,Kyau,,<Address>{0},,store,true,true,false,<MasterList>{1},<Transaction>{},true,8795CB9A88061D4A93DDE093540E9F25
EDBD6A807B15D245AAD0FD3FDC22D124,placeholderName,placeholderCode,<null>,<null>,<null>,placeholderType,false,false,false,<MasterList>{0},<Transaction>{},false,<null>
EFF1EAFDC31E3148A2B48DB15F1994CA,placeholderName,placeholderCode,<null>,<null>,<null>,placeholderType,false,false,false,<MasterList>{0},<Transaction>{},false,<null>
78A7773FDB966240984DBA6142255C23,"Nan Yun Store",N_yun,,<Address>{0},,store,true,true,false,<MasterList>{1},<Transaction>{},true,8795CB9A88061D4A93DDE093540E9F25
5D52C1879569E94BADD54DE4A984B4F4,placeholderName,placeholderCode,<null>,<null>,<null>,placeholderType,false,false,false,<MasterList>{0},<Transaction>{},false,<null>
