id,stocktake,itemBatch,snapshotNumberOfPacks,packSize,expiryDate,batch,costPrice,sellPrice,countedNumberOfPacks,sortIndex
321eabb0f1cd11e79031b5af59368f9f,<Stocktake>{1},<ItemBatch>{115},1200,1,"2018-07-31 00:00:00 +0000",543150702,0,0,0,32
c503cdc0f1cd11e79031b5af59368f9f,<Stocktake>{1},<ItemBatch>{116},0,1,<null>,stocktake_1,0,0,37,56
2ca1d1a0f1d511e79031b5af59368f9f,<Stocktake>{2},<ItemBatch>{117},0,1,"2018-07-31 00:00:00 +0000",543150702,0,0,1200,1
086d0520f1d511e79031b5af59368f9f,<Stocktake>{2},<ItemBatch>{118},220,1,"2019-06-30 00:00:00 +0000",543160604,0,0,1000,0
32319770f1cd11e79031b5af59368f9f,<Stocktake>{1},<ItemBatch>{118},1000,1,"2019-06-30 00:00:00 +0000",543160604,0,0,220,33
01efb250348b11e1bd5fc5c422a3fadd,<Stocktake>{5},<ItemBatch>{119},1,1,"2018-10-31 00:00:00 +0000",supplierinvoice_1,0,0,1,3
01f111e0348b11e1bd5fc5c422a3fadd,<Stocktake>{5},<ItemBatch>{120},63,1,"2018-04-30 00:00:00 +0000",DYI1516167,0,0,63,4
01f382e0348b11e1bd5fc5c422a3fadd,<Stocktake>{5},<ItemBatch>{121},143,1,"2018-09-30 00:00:00 +0000",supplierinvoice_1,0,0,143,5
01f5f3e0348b11e1bd5fc5c422a3fadd,<Stocktake>{5},<ItemBatch>{122},700,1,"2019-02-28 00:00:00 +0000",AAM17004,0,0,700,6
01f8da10348b11e1bd5fc5c422a3fadd,<Stocktake>{5},<ItemBatch>{123},200,1,"2019-04-30 00:00:00 +0000",HE16E05,0,0,200,7
01fecd80348b11e1bd5fc5c422a3fadd,<Stocktake>{5},<ItemBatch>{124},11600,1,<null>,stocktake_8,0,0,11600,9
0201b3b0348b11e1bd5fc5c422a3fadd,<Stocktake>{5},<ItemBatch>{8},3000,1,<null>,stocktake_8,0,0,3000,10
02044bc0348b11e1bd5fc5c422a3fadd,<Stocktake>{5},<ItemBatch>{125},59,1,"2019-06-30 00:00:00 +0000",16018B99,37,0,59,11
138213c0f74711e7a8580fb1f78de0a2,<Stocktake>{4},<ItemBatch>{126},25,1,"2018-04-30 00:00:00 +0000",supplierinvoice_1,0,0,24,0
aa4a3c60f74711e7a8580fb1f78de0a2,<Stocktake>{3},<ItemBatch>{126},25,1,"2018-04-30 00:00:00 +0000",supplierinvoice_1,0,0,24,0
01e9bee0348b11e1bd5fc5c422a3fadd,<Stocktake>{5},<ItemBatch>{127},14600,1,"2020-11-30 00:00:00 +0000",S15,0.01,0,14600,1
